BTC 3x Long,BTCUP
BTC 3x Short,BTCDOWN
Theter,USDT
ADA 3x Short,ADADOWN
ADA 3x Long,ADAUP
BNB 3x Short,BNBDOWN
BNB 3x Up,BNBUP
Ethereum 3x Short,ETHDOWN
Ethereum 3x Long,ETHUP
LINK 3x Short,LINKDOWN
LINK 3x Long,LINKUP
TRX 3x Short,TRXDOWN
TRX 3x Long,TRXUP
XRP 3x Short,XRPDOWN
XRP 3x Long,XRPUP
DOT 3x Short,DOTDOWN
DOT 3x UP,DOTUP
